,Node.Num.Genome.1,Node.Num.Genome.2,Parent.1.ID,Parent.2.ID,Subpopulation.ID,Gens.Ago.Born
30000,6000,6001,29049,29054,1,0
30001,6002,6003,29044,29073,1,0
30002,6004,6005,29027,29070,1,0
30003,6006,6007,29037,29080,1,0
30004,6008,6009,29001,29060,1,0
30005,6010,6011,29037,29090,1,0
30006,6012,6013,29003,29054,1,0
30007,6014,6015,29034,29054,1,0
30008,6016,6017,29040,29080,1,0
30009,6018,6019,29016,29061,1,0
30010,6020,6021,29028,29078,1,0
30011,6022,6023,29018,29094,1,0
30012,6024,6025,29020,29057,1,0
30013,6026,6027,29035,29092,1,0
30014,6028,6029,29042,29054,1,0
30015,6030,6031,29042,29062,1,0
30016,6032,6033,29009,29051,1,0
30017,6034,6035,29015,29092,1,0
30018,6036,6037,29038,29071,1,0
30019,6038,6039,29017,29062,1,0
30020,6040,6041,29042,29063,1,0
30021,6042,6043,29022,29093,1,0
30022,6044,6045,29016,29070,1,0
30023,6046,6047,29008,29062,1,0
30024,6048,6049,29028,29067,1,0
30025,6050,6051,29029,29058,1,0
30026,6052,6053,29034,29059,1,0
30027,6054,6055,29046,29072,1,0
30028,6056,6057,29011,29078,1,0
30029,6058,6059,29045,29055,1,0
30030,6060,6061,29041,29077,1,0
30031,6062,6063,29037,29079,1,0
30032,6064,6065,29046,29080,1,0
30033,6066,6067,29018,29072,1,0
30034,6068,6069,29005,29079,1,0
30035,6070,6071,29016,29055,1,0
30036,6072,6073,29035,29085,1,0
30037,6074,6075,29025,29076,1,0
30038,6076,6077,29001,29067,1,0
30039,6078,6079,29010,29089,1,0
30040,6080,6081,29041,29057,1,0
30041,6082,6083,29046,29085,1,0
30042,6084,6085,29030,29065,1,0
30043,6086,6087,29022,29076,1,0
30044,6088,6089,29016,29050,1,0
30045,6090,6091,29035,29057,1,0
30046,6092,6093,29011,29075,1,0
30047,6094,6095,29026,29080,1,0
30048,6096,6097,29020,29089,1,0
30049,6098,6099,29001,29067,1,0
30050,6100,6101,29048,29053,1,0
30051,6102,6103,29029,29094,1,0
30052,6104,6105,29044,29099,1,0
30053,6106,6107,29021,29066,1,0
30054,6108,6109,29043,29099,1,0
30055,6110,6111,29000,29096,1,0
30056,6112,6113,29001,29082,1,0
30057,6114,6115,29007,29073,1,0
30058,6116,6117,29007,29077,1,0
30059,6118,6119,29032,29070,1,0
30060,6120,6121,29025,29070,1,0
30061,6122,6123,29037,29089,1,0
30062,6124,6125,29033,29061,1,0
30063,6126,6127,29018,29084,1,0
30064,6128,6129,29031,29069,1,0
30065,6130,6131,29037,29080,1,0
30066,6132,6133,29017,29061,1,0
30067,6134,6135,29043,29056,1,0
30068,6136,6137,29037,29066,1,0
30069,6138,6139,29022,29053,1,0
30070,6140,6141,29011,29053,1,0
30071,6142,6143,29041,29081,1,0
30072,6144,6145,29013,29063,1,0
30073,6146,6147,29028,29085,1,0
30074,6148,6149,29031,29093,1,0
30075,6150,6151,29010,29099,1,0
30076,6152,6153,29040,29070,1,0
30077,6154,6155,29012,29056,1,0
30078,6156,6157,29032,29098,1,0
30079,6158,6159,29023,29055,1,0
30080,6160,6161,29020,29091,1,0
30081,6162,6163,29030,29054,1,0
30082,6164,6165,29039,29070,1,0
30083,6166,6167,29044,29092,1,0
30084,6168,6169,29046,29096,1,0
30085,6170,6171,29036,29061,1,0
30086,6172,6173,29013,29054,1,0
30087,6174,6175,29006,29068,1,0
30088,6176,6177,29034,29058,1,0
